filename,true_label,pipeline_verdict,recommended_verdict,signals
easy_ham_00567.aa0b1a5ccd63ce58ca09389b7dd7a5aa.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
phishing0.mbox_00184.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
hard_ham_00026.bb0f14a06b51317f3fc7854cdaae5cdb.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
phishing0.mbox_00170.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
phishing1.mbox_00124.eml,phishing,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00321.c3dda1549b97568144b8290208504673.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00393.b7ba3f196286b0c5ce6e5b1ec9078cd3.eml,legitimate,suspicious,suspicious,"whois_domain_age=neutral,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
hard_ham_00023.fdefc991ac9ee6ab05fe5035b74cef1d.eml,legitimate,suspicious,phishing,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=malicious,cross_check_headers=malicious"
hard_ham_00084.b69a7b9d49f4fef05e0cd50c667f43cc.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
hard_ham_00044.b2f03a4d512deb2c4702a3bd60a4fd88.eml,legitimate,suspicious,unchanged,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=neutral"
easy_ham_00077.24cfaba59d55d652be33b58bd7d41ca2.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
hard_ham_00112.3851987ee7827b01ddb89bb99999adc4.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_01021.3fc1c0955f38f5873882a577f00a5f2c.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00981.3eb28c739b5443730f65626c58e3995e.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
phishing0.mbox_00153.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
phishing0.mbox_00082.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
easy_ham_01022.c0028d36bedd0f6be69cf55265ebce3f.eml,legitimate,suspicious,suspicious,"whois_domain_age=neutral,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
hard_ham_00101.35e2f90cbe45708b1c1dcb606b554ca7.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00183.54d98788fca5892267d8dfe4d09b2bbf.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_01167.6c1a9d12bb40059b2b3aba3d1c5c0f3c.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_01147.ee1b78a672dbd806bf3393ee9c3903c8.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
phishing1.mbox_00435.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,cross_check_headers=neutral"
hard_ham_00056.c17c95457d7524edd8a72b6de455c4d2.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
phishing0.mbox_00346.eml,phishing,needs_review,suspicious,"whois_domain_age=neutral,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
hard_ham_00108.c616dad1b875643b5f48452beadf54b0.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
phishing0.mbox_00086.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
easy_ham_00694.d04cd6e81d2ff9a678a18607d32e229d.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,cross_check_headers=malicious"
hard_ham_00245.ad6a6e01bee8f1d84541fb127a86e31f.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
phishing0.mbox_00171.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
easy_ham_02295.d6c2920e31d10893221d58aa148719c1.eml,legitimate,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=neutral"
hard_ham_00020.eca3ca2c144cd6ceaf677f3d8b7b0eed.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
hard_ham_00144.02ec2c8f4d1c6b004c9eba1bf124f8e3.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_01156.64602d74854cb26859c88c6f560fca27.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00327.f160a103dfff0676aad343813aeab390.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00296.fd066cc4153d4d6e65dc8f06165e3f78.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
phishing0.mbox_00341.eml,phishing,needs_review,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00354.2302c4c1801e52a59346a64a5a31ed85.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00946.36ac3a6b0fc1b34bb8c125fe75cff193.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00166.8feace9f17d092d9532e62c35c37ce95.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
phishing1.mbox_00141.eml,phishing,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00029.56d4310a82386b76b9e771523d571e67.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
hard_ham_00062.5eb057b09783a140a81fd95ed583f60d.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00808.1398044c30f7120129aed031ce56ba58.eml,legitimate,needs_review,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
hard_ham_00249.b9183324a9726e8b6c8779045a921243.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00409.6219d28fb4f2ca0173e3f76acbbec8ce.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00015.4d7026347ba7478c9db04c70913e68fd.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00070.c62a036deb1de40aa32cabc761b0861c.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00001.7c53336b37003a9286aba55d2945844c.eml,legitimate,suspicious,suspicious,"whois_domain_age=neutral,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00323.8f7195f98946c42be7c95881ad779fbe.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_01142.c86c585292af26a7c1b09ed6345982a4.eml,legitimate,suspicious,phishing,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=malicious,cross_check_headers=malicious"
easy_ham_01135.d8ebf01721cded4695ffc8ae22b79caa.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
hard_ham_00181.01c5d96083c6e7770b1704791cf4bb3e.eml,legitimate,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=neutral"
hard_ham_00202.8482d07f3281465b273327bb83bd9a39.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
hard_ham_00110.77ac47048cafa2fe2587182f6d6b19d2.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
hard_ham_00091.7c3181e801c15b857b81100fba6f0519.eml,legitimate,suspicious,phishing,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=malicious,cross_check_headers=malicious"
easy_ham_01122.69d3ebe6675d828f75af6ca1f905802c.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
phishing1.mbox_00134.eml,phishing,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_01163.8acc09ecc06772e532281df46843427e.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00295.00390d9365839897c097b0db0d0a567b.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
hard_ham_00201.04e4c8ef93080eea4b11213262ece700.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=malicious,cross_check_headers=neutral"
easy_ham_00413.e637d3bed73c6df691dc86dd61d46192.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_01151.a454cc33dce527bedd70cf42cff5f079.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
phishing0.mbox_00102.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
phishing0.mbox_00081.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
easy_ham_01501.78f2f952275ec4ddeb969cf596d3ac66.eml,legitimate,suspicious,phishing,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=malicious,cross_check_headers=malicious"
easy_ham_02470.b68fe61c2cd92ceff2ab3e473fd7da0f.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00071.a1a5f4834bebcb59bb75698821cf9f9a.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_01146.fe05a7a131928bf0997793278e203448.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00041.002af69a10eb9b6683a7cff5f3ac14b4.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00983.42eb62cc4057d03dfd3eb1c8afc270e2.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
hard_ham_00170.1a9e4779117adf05e9690401ab6bc6cb.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
hard_ham_00193.0ec2d3762629686bdebde22f730a15e9.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00984.6f4ec805e2e78d5310e0a4ae931e67b3.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
hard_ham_00137.30e6f75738b0cbad4f91da9590d7af0b.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00471.4275aa8908e9754226118eb99aad8c6d.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
hard_ham_00080.338dc467b34650c3fb2deebfb49c7279.eml,legitimate,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=neutral"
easy_ham_01165.5c0ba98485fd4a2e53286b852d62c1b6.eml,legitimate,suspicious,suspicious,"whois_domain_age=neutral,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_01016.553813d21aa39e50dee2eb5af2d67cc6.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
phishing0.mbox_00150.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
easy_ham_01180.13edd21d3fb5e2c397528cbc0a581b76.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
phishing0.mbox_00156.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
hard_ham_00071.c101f559f8fb74cad5caf665a3713c34.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00916.1ea7a40e892220d43795fee49ab4849e.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
hard_ham_00065.84b8fba96e680358bbd2c961fe356982.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00954.64e0c6e4f6fad8027420d8082164331d.eml,legitimate,suspicious,suspicious,"whois_domain_age=neutral,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00305.4d30f302b0e02fed5944d83cf2de08e4.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
phishing0.mbox_00129.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
hard_ham_00138.1bf66894faa2d923b2a673a016dc6afd.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
hard_ham_00095.8649aca72a33fe998c9b95ad00dc4d7f.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00076.5aa682e393bfbef53e244acf3b2d23d6.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
hard_ham_00017.840244edb8cc88aba7129296ea536212.eml,legitimate,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=neutral"
easy_ham_00312.2909c5a1114ade0b2aa7c3da6960a3f7.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00310.66b26e342f980a716f81bb66e9b28c92.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
hard_ham_00030.81e02cde7ddb4986b99b38a31ef8cf9a.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00291.69656be850c89e739f4ae1db5b43d90f.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
hard_ham_00022.66e4bce429ab25c5d2c7e8a1a38838a0.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00461.94c0b7cab722e5ac253b285e50b047e1.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,cross_check_headers=malicious"
phishing0.mbox_00083.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
easy_ham_00551.1c59fd8e4f3176c859b79b9a75fcc3b6.eml,legitimate,suspicious,phishing,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=malicious,cross_check_headers=malicious"
phishing1.mbox_00114.eml,phishing,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_01025.11e89c01b958ab83027b5ea3d508998a.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00994.63ad3cd73487972bfc2eb3e78e2e7cf9.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00369.f6f9d4cac4af831140abf032d0378365.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_01125.e1388e6a675c99fbf85b0ef5ac02d77d.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00044.d087bf5e76ba737908b482cb028b056c.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_01126.d930bf33cb3a9468623c15fb4cc24542.eml,legitimate,suspicious,suspicious,"whois_domain_age=neutral,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00301.48ccf486575754a29b80e4eae2c5e227.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_01128.48db2981ac933d672bcc5203a7063305.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00306.a94c65293f1aa18dd41198b867329cb9.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_01161.25f5db0a9305744347c51f64ac62efaf.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
hard_ham_00047.e16f5f2d37964469a4bea8d6028b2acc.eml,legitimate,suspicious,phishing,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=malicious,cross_check_headers=malicious"
easy_ham_00692.9761f9740766106c5f982e773069a76d.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00702.bf064c61d1ba308535d0d8af3bcb1789.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
hard_ham_00067.78f9a9d537907424c503f4d29a2c24b4.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00638.62a452b9264fb77572bb34181f71a325.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=benign,cross_check_headers=malicious"
hard_ham_00119.4cb9c1c20358b4c2a6df2cdc5670fe62.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
hard_ham_00162.cef6a9e09dce1854e04dfb65cd040f6d.eml,legitimate,suspicious,phishing,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=malicious,cross_check_headers=malicious"
hard_ham_00038.a5f3ff0736ac35b3102c6712ffed9a60.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00315.57e3c784e646e449c12675f2981a956f.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
hard_ham_00169.251360b0bc97db8a080cc122ce0428fe.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
phishing0.mbox_00185.eml,phishing,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=benign"
hard_ham_00077.5bb73a24591aea238ff4c466aa16c6a5.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
hard_ham_00060.bb5f0a4bb14bf8126f7024c538c22c92.eml,legitimate,suspicious,unchanged,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=neutral"
easy_ham_01015.8a6eaecc5bc6782f0f60bc0cafd412d9.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
real_2026_inbox_sample_01.eml,phishing,suspicious,suspicious,"whois_domain_age=neutral,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_00037.5a7af2f7bd57a2f50b7cfa05d5e37c29.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=malicious"
easy_ham_02441.231d03774c8f1725c43fdc85fed114ef.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=benign,follow_redirects=neutral,cross_check_headers=malicious"
easy_ham_00292.d70b6d753352d01060579b1c34df4e4d.eml,legitimate,suspicious,suspicious,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=neutral,cross_check_headers=malicious"
hard_ham_00035.a0e0e8cdca0b8352a9e9c2c81e5d5cd7.eml,legitimate,suspicious,benign_or_low_risk,"whois_domain_age=benign,dns_lookup=neutral,follow_redirects=benign,cross_check_headers=neutral"
